,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.6068867683410644,0.08269876822697586,0.00718083381652832,0.0007561337580599324,0.01,3,2,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
1,3.390916585922241,0.2740712444476642,0.008066272735595703,0.000829859128478256,0.01,3,2,200,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
2,4.884617137908935,0.14944307418993633,0.008225345611572265,0.0006337487052601011,0.01,3,2,300,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
3,1.662732982635498,0.0771286714323303,0.008015918731689452,0.003771678810422265,0.01,3,5,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
4,3.3127197265625,0.17522503684189286,0.007209300994873047,0.0008579284177933688,0.01,3,5,200,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
5,4.892622804641723,0.130958308465801,0.007845592498779298,0.0009187175803383308,0.01,3,5,300,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
6,1.6777042388916015,0.08233411603802172,0.0072100162506103516,0.0018958138966142927,0.01,3,10,100,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
7,3.209189605712891,0.08326980195014758,0.00678563117980957,0.00020986875834821543,0.01,3,10,200,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
8,4.880006885528564,0.2157543258780137,0.007013273239135742,0.0002889945702601486,0.01,3,10,300,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
9,1.8424009799957275,0.07772783040193636,0.006796836853027344,0.0007312635890308694,0.01,4,2,100,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
10,3.559367561340332,0.1400457206098018,0.009058284759521484,0.0027502913949229574,0.01,4,2,200,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
11,5.30818133354187,0.32295143348736105,0.008878993988037109,0.002348421994320415,0.01,4,2,300,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
12,1.8167816638946532,0.05769469096505086,0.0066585540771484375,0.0014156421908754712,0.01,4,5,100,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
13,3.642776536941528,0.3425003966299605,0.006607151031494141,0.00079032303948927,0.01,4,5,200,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
14,5.140683841705322,0.35172427941880574,0.007488346099853516,0.0007977809375002412,0.01,4,5,300,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
15,1.7530008792877196,0.14766557639865596,0.00602116584777832,0.0005966530116790062,0.01,4,10,100,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
16,3.5597720623016356,0.28639869929176276,0.00952143669128418,0.0035011040232214535,0.01,4,10,200,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
